port_lat,port_lon,con_lat,con_lon
60.627489,28.567357,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
46.492472,30.739323,44.439663,26.096306
64.535565,40.523276,44.439663,26.096306
57.038262,24.061383,44.439663,26.096306
57.397756,21.546138,44.439663,26.096306
60.706737,28.735997,44.439663,26.096306
60.627489,28.567357,44.439663,26.096306
67.137756,32.407999,44.439663,26.096306
45.359856,36.478208,44.439663,26.096306
68.978906,33.067631,44.439663,26.096306
44.730138,37.779099,44.439663,26.096306
56.95897,24.094468,44.439663,26.096306
47.206761,38.952893,44.439663,26.096306
59.690523,28.4331,44.439663,26.096306
